hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,alpha_used,eta
258,14.623243,.4792345,.0027677,.8853428,1329,,0,0,.0339178,.0464,-138.2623,138.2623,0,0,17,14.62324,5
259,16.716822,.3353859,.0016856,.8979254,2437,,0,0,.0503174,.025164,-66.71344,66.71347,0,0,32,16.71682,5
260,36.806214,.3253537,.0077932,.9095367,412,,0,0,.0355145,.2296127,43.02128,-43.02129,0,0,,36.80621,5
261,24.570917,.3605486,.0042689,.8941946,576,,0,0,.0366999,.1094605,112.0686,-112.0686,0,0,17,24.57092,5
262,25.169441,.4198137,.0056865,.9023406,1752,,0,0,.0440787,.091378,63.91139,-63.91138,0,0,22,25.16944,5
263,35.030596,.1657767,.0057645,.9047073,732,,0,0,.0550837,.175279,81.70039,-81.70039,0,0,16,35.0306,5
264,27.185005,.3593117,.0122601,.8767627,2777,,0,0,.030988,.3888197,406.6574,-406.6574,0,0,31,27.18501,5
267,26.252717,.4979176,.0154656,.8924154,2500,,0,0,.037969,.1659067,960.1216,-960.1216,0,0,27,26.25272,5
268,36.492082,.5857655,.0321347,.8972253,12506,,0,0,.0471635,.42195,3562.28,-3562.28,0,0,46,36.49208,5
270,32.11427,.4855435,.0077484,.9062175,3274,,0,0,.0473316,.0876774,22.9478,-22.94779,0,0,26,32.11427,5
273,24.056699,.5130302,.0175093,.8927641,12981,,0,0,.0549424,.214761,3440.501,-3440.501,0,0,75,24.0567,5
276,25.275973,.2290369,.0047373,.9081295,1935,,0,0,.038958,.2332101,-90.10631,90.10634,0,0,14,25.27597,5
277,22.941468,.4675288,.019488,.9165332,5016,,0,0,.0339725,.3100407,-75.96159,75.96165,0,0,30,22.94147,5
278,19.32244,.4232158,.0075643,.915148,9540,,0,0,.0386792,.2224399,922.4355,-922.4356,0,0,39,19.32244,5
279,57.851944,.520461,.0154113,.8951273,3345,,0,0,.0278518,.3680592,973.2799,-973.28,0,0,15,57.85194,5
281,34.914474,.5015892,.0197502,.9229087,880,,0,0,.0381433,.2724453,246.6193,-246.6193,0,0,29,34.91447,5
282,22.369649,.5596998,.0112084,.9093063,4403,,0,0,.0474252,.1168588,557.8606,-557.8606,0,0,62,22.36965,5
283,23.875118,.5380672,.0115407,.9012866,18800,,0,0,.0414626,.1223251,1689.57,-1689.57,0,0,175,23.87512,5
284,20.999601,.5391224,.0130194,.9041227,3556,,0,0,.0395907,.166398,462.0093,-462.0093,0,0,124,20.9996,5
285,33.085406,.5513292,.015197,.9086094,3196,,0,0,.0329589,.1800507,159.8315,-159.8315,0,0,146,33.08541,5
288,41.373562,.6098058,.030026,.9047124,3102,,0,0,.0337251,.1939827,867.2764,-867.2765,0,0,120,41.37356,5
289,26.024946,.5595631,.0238141,.9023124,1533,,0,0,.037068,.3072129,430.0315,-430.0314,0,0,118,26.02495,5
291,16.302095,.4880546,.0160302,.8955174,1237,,0,0,.0383741,.2383886,300.4728,-300.4727,0,0,92,16.3021,5
292,40.029605,.5087164,.0135426,.9092713,1916,,0,0,.0314193,.2454969,368.6005,-368.6005,0,0,99,40.02961,5
295,51.015242,.5082174,.0143931,.906496,7705,,0,0,.0307958,.2020349,2300.789,-2300.789,0,0,100,51.01524,5
296,43.069498,.4000065,.0159797,.9034617,1585,,0,0,.0286342,.6177393,441.9882,-441.9882,0,0,26,43.0695,5
297,8.5105657,.4363019,.0059169,.9095004,539,,0,0,.0335476,.1122441,83.27731,-83.27731,0,0,64,8.510566,5
299,34.555562,.5346083,.0324681,.9116929,2355,,0,0,.0514484,.2718779,881.644,-881.644,0,0,33,34.55556,5
300,42.623943,.3944249,.0134119,.9048402,1506,,0,0,.0308251,.4423806,363.052,-363.052,0,0,20,42.62394,5
301,23.216195,.5045362,.0144891,.9086565,14849,,0,0,.0369528,.2393847,3523.566,-3523.566,0,0,133,23.2162,5
303,55.436116,.6481143,.0356889,.9112521,4674,,0,0,.0389415,.321516,1648.656,-1648.656,0,0,153,55.43612,5
304,48.12011,.497731,.0197921,.899504,1325,,0,0,.0304658,.5181988,511.3905,-511.3905,0,0,32,48.12011,5
307,44.325273,.2994938,.0065803,.9171689,4244,,0,0,.0403313,.122111,63.63557,-63.6356,0,0,27,44.32527,5
308,38.85225,.5582326,.0186871,.9070096,4344,,0,0,.0315288,.3151264,1531.017,-1531.017,0,0,109,38.85225,5
309,48.12066,.5147027,.0167715,.9098125,3501,,0,0,.0322839,.2635054,532.7101,-532.7101,0,0,33,48.12066,5
311,51.787128,.5212832,.0080382,.9064662,10127,,0,0,.0338832,.0717205,690.004,-690.0042,0,0,47,51.78713,5
313,112.4411,0,-.8990505,.8990505,1621,,0,0,.0136307,.2146816,-441.3427,-1179.657,0,0,18,112.4411,5
314,26.475507,.4664708,.0103231,.9010945,4791,,0,0,.0332009,.2179866,926.4993,-926.4994,0,0,40,26.47551,5
315,48.354718,.6954328,.0042271,.9003489,710,,0,0,.0254058,.0659649,-95.33183,95.33182,0,0,14,48.35472,5
318,38.23578,.6159008,.0357211,.8969929,4539,,0,0,.0405248,.457737,1040.453,-1040.453,0,0,40,38.23578,5
319,42.765413,.5930664,.0193519,.8978187,2556,,0,0,.0340541,.2458184,1359.794,-1359.794,0,0,19,42.76542,5
320,45.135114,.65118,.0186132,.9106414,2495,,0,0,.0367503,.2080627,471.608,-471.608,0,0,38,45.13511,5
322,27.009703,.3842226,.0102128,.9041516,1706,,0,0,.0555946,.1414357,429.351,-429.351,0,0,19,27.0097,5
323,22.628605,.1529,.0103688,.8998968,492,,0,0,.0611854,.4999467,56.1631,-56.1631,0,0,,22.6286,5
325,35.412011,.6495915,.0199206,.8848743,2228,,0,0,.039015,.1840797,279.6549,-279.6549,0,0,36,35.41201,5
327,34.017077,.5017669,.0122597,.8944626,8160,,0,0,.0334462,.2054667,2327.69,-2327.69,0,0,43,34.01708,5
