hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
304,"current",1,1325,.0003955,,.899503,.8863869,.8888889,.9191919,.9191919,.8998985,.8863869,.8888889,.9191919,.9191919,,,,,,,,,,
307,"current",1,4244,-.0002403,,.9171701,.9105691,.9164706,.9164706,.9353083,.9169298,.9105691,.9164706,.9164706,.9353083,,,,,,,,,,
308,"current",1,4344,-.0006095,,.9070178,.8711832,.9018075,.9294425,.9379906,.9064083,.8695652,.9018075,.9294425,.9379906,,,,,,,,,,
309,"current",1,3501,-.0010976,,.9098125,.8799127,.9107101,.9276637,.9276637,.9087148,.8683761,.8867925,.9276637,.9276637,,,,,,,,,,
311,"current",1,10127,-.0267615,,.9064652,.8904429,.9091328,.9091328,.9170533,.8797037,.845946,.845946,.9134488,.9246032,,,,,,,,,,
313,"current",1,1621,-.0011898,,.8990505,.8953745,.8953745,.9047619,.9047619,.8978607,.8953745,.8953745,.8953745,.9047619,,,,,,,,,,
314,"current",1,4791,-.0043381,,.9010945,.8561644,.8921776,.9204621,.9204621,.8967564,.8529412,.8921776,.9204621,.9204621,,,,,,,,,,
315,"current",1,710,.0012512,,.9003487,.866426,.8988186,.9091328,.9091328,.9015998,.866426,.9091328,.9091328,.9091328,,,,,,,,,,
318,"current",1,4539,-.0013784,,.8969942,.8691233,.8830996,.9200714,.925,.8956158,.8595194,.8762887,.9200714,.925,,,,,,,,,,
319,"current",1,2556,.0003286,,.8978171,.8931034,.8967583,.9009084,.9009084,.8981457,.8931034,.8967583,.9009084,.9009084,,,,,,,,,,
320,"current",1,2495,.0013759,,.9106417,.8898451,.8988186,.9181287,.9351032,.9120175,.8918985,.8996458,.9186569,.9351032,,,,,,,,,,
322,"current",1,1706,.0001113,,.9041516,.8888889,.9000529,.9035088,.9254341,.9042628,.8888889,.9000529,.9035088,.9254341,,,,,,,,,,
