coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi,rho,tot_spec,tot_pcp
-.05178096,.00264951,112,1,1,-9508.602,0,0,7012,461,127,5.882059,200.2394,.9541814,2.81206,.2742204,.0085568,.9118684,59,418
-.05176343,.00264823,112,5,1,-9508.834,2.935e-16,0,7012,461,127,5.882059,200.2394,.9541814,2.81206,.2742204,.0085568,.9118684,59,418
-.06176286,.00213536,113,1,1,-18810.24,.03062134,.1463097,11938,1049,316,7.289077,150.4904,.7685941,2.527993,.0746205,.0214441,.9083003,94,908
-.06176512,.00214012,113,5,1,-18809.95,.18275349,.3057839,11938,1049,316,7.289077,150.4904,.7685941,2.527993,.0746205,.0214441,.9083003,94,908
-.06286543,.00997757,115,1,1,-2313.77,.05058827,.2595043,3031,351,158,4.864401,177.743,1.75019,3.276673,.4182936,.0280435,.9055488,26,250
-.06283411,.00999257,115,5,1,-2313.782,1.197e-15,0,3031,351,158,4.864401,177.743,1.75019,3.276673,.4182936,.0280435,.9055488,26,250
-.06619253,.00963222,116,1,1,-2914.94,.08782346,.2865208,3137,414,210,5.462225,189.5061,.9183917,2.860755,.3033585,.0290086,.8965661,43,291
-.06619343,.00963246,116,5,1,-2914.931,.19719266,.5748559,3137,414,210,5.462225,189.5061,.9183917,2.860755,.3033585,.0290086,.8965661,43,291
-.0764671,.00285306,118,1,1,-20230.6,.15825425,.1346799,13756,1435,589,9.325748,106.5469,.9446457,3.483078,.0634974,.0327857,.9009353,46,782
-.07646044,.00285282,118,5,1,-20230.86,.25229642,.2602703,13756,1435,589,9.325748,106.5469,.9446457,3.483078,.0634974,.0327857,.9009353,46,782
-.08971129,.00198662,119,1,1,-26778.42,.24524273,.100883,15739,1794,663,10.52881,110.7356,1.031355,4.405465,.0550641,.0534977,.9041584,60,1000
-.08971374,.00198633,119,5,1,-26779.13,.39026443,.1913892,15739,1794,663,10.52881,110.7356,1.031355,4.405465,.0550641,.0534977,.9041584,60,1000
-.05777339,.00496186,120,1,1,-1640.023,.51497649,.3246772,3253,331,111,4.387027,221.7021,1.508304,2.846438,.3852161,.070704,.9097072,33,259
-.0576319,.00494562,120,5,1,-1640.719,.56598772,.6408541,3253,331,111,4.387027,221.7021,1.508304,2.846438,.3852161,.070704,.9097072,33,259
-.09627401,.00551456,122,1,1,-4545.199,5.053e-21,1.94e-18,2786,338,203,7.156138,94.64461,.729742,3.043181,.0883028,.0412778,.8875692,43,248
-.09625646,.00551647,122,5,1,-4545.145,0,0,2786,338,203,7.156138,94.64461,.729742,3.043181,.0883028,.0412778,.8875692,43,248
-.05622084,.00250348,123,1,1,-11248.5,.04670404,.1501328,10751,722,265,5.692773,236.1745,1.354876,3.443391,.1796653,.0747837,.8916485,38,510
-.05622407,.00250383,123,5,1,-11248.48,.08856206,.2605011,10751,722,265,5.692773,236.1745,1.354876,3.443391,.1796653,.0747837,.8916485,38,510
-.05631583,.0078457,124,1,1,-1439.079,0,0,1727,221,126,4.679791,159.1843,1.681818,2.909144,.4365963,.5732484,.8766811,37,159
-.09194872,.00765932,127,1,1,-1724.86,.04492869,.4415156,2015,415,317,6.640199,73.8585,.6212121,2.031841,.0711259,.0307692,.9066743,32,172
-.09196354,.00765561,127,5,1,-1724.867,1.930e-15,0,2015,415,317,6.640199,73.8585,.6212121,2.031841,.0711259,.0307692,.9066743,32,172
-.07150761,.00303017,129,1,1,-8704.745,.20795599,.2015956,8215,676,334,10.60134,122.6157,.9802247,4.289326,.0905864,.0116859,.902124,58,392
-.0714779,.00303096,129,5,1,-8705.208,.23063388,.363995,8215,676,334,10.60134,122.6157,.9802247,4.289326,.0905864,.0116859,.902124,58,392
-.07286501,.00208869,130,1,1,-27829.22,.21105439,.1063459,19003,1858,809,9.011577,75.01631,1.038739,3.64709,.0226477,.0479924,.8951567,122,1142
-.07287101,.00208789,130,5,1,-27829.46,.3856105,.2145161,19003,1858,809,9.011577,75.01631,1.038739,3.64709,.0226477,.0479924,.8951567,122,1142
-.05807715,.00325565,131,1,1,-4733.838,.81757318,.2491202,3964,347,198,9.570131,61.05228,.7591444,3.374651,.1198514,.0953582,.9134744,33,222
-.05801511,.003252,131,5,1,-4734.088,1.4446042,.4578561,3964,347,198,9.570131,61.05228,.7591444,3.374651,.1198514,.0953582,.9134744,33,222
-.05345121,.00800926,133,1,1,-894.2775,0,0,1552,131,98,6.902062,100.0143,1.603211,3.180995,.3461455,.0393041,.8837005,13,86
-.05345289,.00801675,133,5,1,-894.288,8.636e-17,0,1552,131,98,6.902062,100.0143,1.603211,3.180995,.3461455,.0393041,.8837005,13,86
-.07065493,.00302614,134,1,1,-5669.211,.27537741,.1939121,5487,443,220,8.119191,62.86692,1.023065,3.315036,.0999402,.126663,.9007936,32,262
-.07063815,.00302813,134,5,1,-5669.521,.45100538,.3768366,5487,443,220,8.119191,62.86692,1.023065,3.315036,.0999402,.126663,.9007936,32,262
-.10565509,.00550333,137,1,1,-11467.59,0,0,7788,816,396,8.427581,133.2904,1.11606,3.50722,.1758663,.0387776,.917249,41,515
-.10561743,.00554218,137,5,1,-11467.75,1.389e-18,0,7788,816,396,8.427581,133.2904,1.11606,3.50722,.1758663,.0387776,.917249,41,515
-.0434601,.01788185,139,1,1,-2233.756,.31673745,.2933099,1812,290,161,5.557947,144.7103,.8268366,2.801442,.2535245,.0248344,.8943158,31,204
-.04363054,.0179209,139,5,1,-2234.024,.49189571,.7047037,1812,290,161,5.557947,144.7103,.8268366,2.801442,.2535245,.0248344,.8943158,31,204
-.08409003,.00664174,140,1,1,-986.9314,4.616e-21,0,2464,221,94,4.760146,91.61514,1.550577,2.988139,.142137,.03125,.8957627,18,151
-.08409003,.00664174,140,5,1,-986.9314,3.219e-18,0,2464,221,94,4.760146,91.61514,1.550577,2.988139,.142137,.03125,.8957627,18,151
-.07893784,.0052274,141,1,1,-3655.969,.18303889,.2466039,3891,479,243,5.665124,211.7057,1.016321,2.675802,.2501926,.1369828,.8927425,53,333
-.07892471,.00522356,141,5,1,-3656.069,.26504911,.482598,3891,479,243,5.665124,211.7057,1.016321,2.675802,.2501926,.1369828,.8927425,53,333
-.01361825,.0080594,142,1,1,-276.8854,.28788772,.6577155,708,65,37,6.545198,130.4162,.9252971,2.369843,.1973611,.1101695,.879138,14,47
-.01369261,.00806736,142,5,1,-276.852,.72118784,1.313887,708,65,37,6.545198,130.4162,.9252971,2.369843,.1973611,.1101695,.879138,14,47
-.07005331,.00249437,144,1,1,-25668.05,0,0,18566,1270,400,6.37601,160.4948,.8882429,2.257828,.0813143,.0365722,.9083797,80,1012
-.07005902,.00249561,144,5,1,-25669.37,3.429e-20,0,18566,1270,400,6.37601,160.4948,.8882429,2.257828,.0813143,.0365722,.9083797,80,1012
-.06985942,.00553796,145,1,1,-3000.73,.22564508,.2601005,3173,225,97,5.070911,77.26758,1.165205,2.855414,.2815811,.0135518,.9085268,26,180
-.06988062,.00554119,145,5,1,-3000.994,.22584758,.4812644,3173,225,97,5.070911,77.26758,1.165205,2.855414,.2815811,.0135518,.9085268,26,180
-.06623443,.01353999,146,1,1,-861.8425,.67565915,.5278044,1869,126,42,4.024077,227.8127,2.149593,3.672766,.4331329,.0053505,.8994012,11,103
-.06609478,.01355282,146,5,1,-862.789,.62875561,.9222134,1869,126,42,4.024077,227.8127,2.149593,3.672766,.4331329,.0053505,.8994012,11,103
-.04848242,.00337075,147,1,1,-1982.621,1.075e-20,0,2384,227,102,6.300755,106.2129,.8956476,2.438164,.1591201,.0192953,.9020347,36,188
-.04848242,.00337075,147,5,1,-1982.621,1.218e-38,0,2384,227,102,6.300755,106.2129,.8956476,2.438164,.1591201,.0192953,.9020347,36,188
-.07152457,.00577565,148,1,1,-1579.901,0,0,1504,161,54,4.036569,86.14276,1.730684,3.471496,.2707143,.2573138,.8775099,32,149
-.0715448,.00577266,148,5,1,-1579.946,1.360e-18,0,1504,161,54,4.036569,86.14276,1.730684,3.471496,.2707143,.2573138,.8775099,32,149
-.037052,.00328314,149,1,1,-3504.472,.05797337,.2499321,4999,346,200,6.785957,99.17173,1.032266,3.431562,.1698469,.0784157,.9133825,24,210
-.03704242,.00328381,149,5,1,-3504.502,4.847e-13,0,4999,346,200,6.785957,99.17173,1.032266,3.431562,.1698469,.0784157,.9133825,24,210
-.05504099,.01352546,150,1,1,-825.3946,.86029809,.511673,1461,176,125,4.924709,37.64516,.4864629,.9656829,.1341336,.1670089,.9248675,11,88
-.05514199,.01350266,150,5,1,-825.6799,1.374429,.9999812,1461,176,125,4.924709,37.64516,.4864629,.9656829,.1341336,.1670089,.9248675,11,88
-.0610368,.0037065,151,5,1,-2370.264,2.448e-32,0,3056,270,131,6.046466,44.13062,.8911593,2.361604,.1487024,.3275523,.9095352,23,198
-.11180745,.01425911,154,1,1,-1677.194,0,0,1484,244,55,5.107817,97.31411,1.137874,2.674134,.128817,.2486523,.9133666,27,212
-.111744,.01424754,154,5,1,-1677.26,8.363e-31,0,1484,244,55,5.107817,97.31411,1.137874,2.674134,.128817,.2486523,.9133666,27,212
-.07322882,.00474109,155,1,1,-11401.2,.04945951,.1468248,5345,543,134,8.693545,125.931,.9474331,3.441668,.0706084,.053508,.8795546,71,497
-.07320835,.00474494,155,5,1,-11401.08,.16384618,.2988124,5345,543,134,8.693545,125.931,.9474331,3.441668,.0706084,.053508,.8795546,71,497
-.09410448,.00525269,156,1,1,-6094.431,.01265573,.2273907,3834,731,169,3.589724,266.3322,.9996783,2.272846,.1044222,.1356286,.8954189,81,671
-.09413084,.00525203,156,5,1,-6094.252,.22307119,.4460332,3834,731,169,3.589724,266.3322,.9996783,2.272846,.1044222,.1356286,.8954189,81,671
-.09752714,.00462196,158,1,1,-7228.85,0,0,4748,655,145,6.633319,195.547,.9480904,2.606304,.0925746,.0494945,.9064151,54,555
-.09754398,.00461968,158,5,1,-7228.93,2.62e-221,0,4748,655,145,6.633319,195.547,.9480904,2.606304,.0925746,.0494945,.9064151,54,555
-.06259993,.00472556,161,1,1,-8676.417,0,0,7853,699,153,4.295683,491.4939,1.33362,2.509386,.3854575,.1049281,.9076931,50,633
-.06260459,.00472153,161,5,1,-8676.662,0,0,7853,699,153,4.295683,491.4939,1.33362,2.509386,.3854575,.1049281,.9076931,50,633
-.07570914,.01038768,163,1,1,-4041.367,0,0,3161,433,104,4.392597,190.8923,1.131559,2.856232,.2089237,.2603607,.9049573,45,368
-.05607414,.00510877,164,1,1,-5540.705,.07113787,.2052477,4112,609,146,5.396644,157.347,1.5003,3.348581,.115218,.0744163,.8895984,66,514
-.05610158,.00510768,164,5,1,-5540.757,0,0,4112,609,146,5.396644,157.347,1.5003,3.348581,.115218,.0744163,.8895984,66,514
-.13315797,.00479185,166,1,1,-11442.02,.34789146,.1757416,6726,841,181,5.842105,153.8346,1.03366,2.757299,.0731936,.2276241,.9045463,72,756
-.13318137,.00479366,166,5,1,-11442.26,.63057956,.3656896,6726,841,181,5.842105,153.8346,1.03366,2.757299,.0731936,.2276241,.9045463,72,756
-.07155602,.00312992,170,1,1,-4653.477,.21280599,.258692,4729,346,116,5.553817,100.4562,1.236446,3.381934,.1824092,.2180165,.904524,45,299
-.0715782,.00313017,170,5,1,-4653.821,.18957239,.5086522,4729,346,116,5.553817,100.4562,1.236446,3.381934,.1824092,.2180165,.904524,45,299
-.06401076,.00265363,171,1,1,-5851.655,0,0,5386,519,143,5.504827,118.1428,1.56755,3.033819,.1493839,.2695878,.9021618,67,457
-.06400079,.00265624,171,5,1,-5851.798,1.313e-13,0,5386,519,143,5.504827,118.1428,1.56755,3.033819,.1493839,.2695878,.9021618,67,457
-.06052785,.00356399,172,1,1,-3222.345,.06987817,.3061267,4372,405,143,5.470952,79.64558,1.427566,3.420018,.1079793,.1349497,.8957738,61,303
-.0606184,.00355947,172,5,1,-3222.33,0,0,4372,405,143,5.470952,79.64558,1.427566,3.420018,.1079793,.1349497,.8957738,61,303
-.02740077,.00236229,173,1,1,-1496.756,.83480948,.344528,1679,222,90,5.587255,72.67823,1.530627,2.940719,.1301631,.4860036,.8843428,32,182
-.0274775,.00237038,173,5,1,-1496.741,1.6744211,.7192271,1679,222,90,5.587255,72.67823,1.530627,2.940719,.1301631,.4860036,.8843428,32,182
