hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
208,.03292905,.4670763,.0034366,.8793427,2353,-.0245193,3.08353,17.22897,.0475782,.0414378,460.018,-460.018,-.6553571,.0672164,27,5
209,6.510e-40,.1112686,.0001388,.8962326,1062,.3907196,.7824687,2.494816,.0421088,.0219824,24.42919,-24.42919,-.1502292,-.7769666,18,5
210,.03032311,.390795,-.0031419,.8968053,1757,.0928722,3.628098,14.57454,.0416527,-.040639,213.46,-213.4599,-2.282894,-.8873709,27,5
212,1.5705927,.2600552,.0005871,.8897345,985,-.0929013,1.191073,4.665884,.0424853,.0131478,101.6108,-101.6108,-.2841932,-.3651346,26,5
213,5.170e-23,.2762133,-.0042143,.9124186,3001,.2481911,.7607632,2.548776,.0364233,-.1870759,-165.6699,165.6699,-.5411357,-.8643565,25,5
214,3.106e-31,.2060937,-.0034771,.9135734,1455,.0232848,3.94749,13.89858,.0509338,-.1033381,-146.2529,146.2528,-2.773327,-.966162,,5
216,3.877e-21,.2231408,.0050649,.8927361,582,.3460618,1.064327,3.961739,.0410583,.3139582,26.27463,-26.27463,.9857071,.2473233,26,5
217,2.1117484,.0517844,.0017662,.8955636,607,.2118381,1.075757,2.519495,.0337814,.4138359,25.68994,-25.68994,.1678851,1.033597,,5
218,1.25e-173,.2751371,.0003749,.9111521,263,.0383467,4.400075,15.2249,.0405132,.0397753,-12.63619,12.63619,-.5021255,-1.875749,16,5
219,1.601e-23,.2323627,-.004334,.8848785,2544,.4634982,2.881654,16.00086,.0503887,-.1240514,-285.6344,285.6344,-1.742669,-1.819233,29,5
220,.39422714,.2210405,.0003265,.8968576,286,.707216,.9970389,4.283128,.037082,.0319425,17.0087,-17.00871,1.387707,.621307,19,5
222,.16157223,.3434165,.0045373,.9023504,4284,.0791084,3.023809,15.61328,.0269661,.3153254,342.2976,-342.2976,-1.876851,-2.171614,46,5
