hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
264,5.583e-33,.272554,-.0080611,.8767627,2777,.1476873,3.678041,15.39702,.030988,-.2973294,-294.3018,294.3018,-1.954652,-2.624348,31,5
267,.02852749,.1086248,-.0009304,.8924154,2500,.0881203,.9853009,3.665488,.037969,-.1278818,-27.26198,27.26199,-.432591,-.3359258,27,5
268,.00007434,.2786868,-.0042016,.8972253,12506,.3294697,.9620361,3.96867,.0471635,-.1934649,-450.1978,450.1979,.3121628,-.386978,46,5
270,.65802354,.1964188,.0010711,.9062175,3274,.5040345,.8236569,3.835127,.0473316,.0511466,-21.85928,21.85929,.0944118,-.2334618,26,5
273,.14889167,.3058607,.0020509,.8927641,12981,.2331336,.9232076,4.433157,.0549424,.0461453,967.4197,-967.4197,.1525424,-.1522292,75,5
276,0,.082981,.0000578,.9081295,1935,.3537983,.8901209,2.898282,.038958,.0159469,39.75762,-39.75761,-.7154292,-1.506023,14,5
277,4.469e-34,.2562451,-.00169,.9165332,5016,.332688,1.055043,4.230961,.0339725,-.0367542,-101.1608,101.1607,.5311533,-.0834922,30,5
278,.00003257,.4655922,-.0121547,.915148,9540,.3210179,1.142868,4.57268,.0386792,-.1346405,-2952.944,2952.944,-1.488306,-2.085607,39,5
279,.29233906,.1580305,.0002298,.8951273,3345,.3518919,.9727244,3.029136,.0278518,.0480179,-11.16928,11.16928,.0191265,-.2192674,15,5
281,.90918135,.1394584,.0013261,.9229087,880,.1812891,5.283437,17.4484,.0381433,.1433318,-4.341943,4.341945,.6067566,-3.798312,29,5
282,7.632e-14,.2899931,-.0005922,.9093063,4403,.0718667,.9179364,3.668389,.0474252,-.0136079,-272.6206,272.6206,-.0244995,-.4618285,62,5
283,2.751e-21,.6632164,.0033152,.9012866,18800,.1595167,.919427,4.707087,.0414626,.0121056,2666.027,-2666.027,-2.273489,-2.672361,175,5
284,5.617e-16,.2868009,-.0006214,.9041227,3556,.0614954,2.581903,18.07761,.0395907,-.0303924,-53.13684,53.13686,.0300257,-.3784448,124,5
285,.63656243,.2735536,-.0000346,.9086094,3196,.1878181,1.620098,18.85039,.0329589,-.0014165,-41.7683,41.76831,-.186665,-.8765931,146,5
288,.50393578,.2580157,-.0001109,.9047124,3102,.1919392,1.110248,5.115365,.0337251,-.0059094,-23.01699,23.017,.1923341,-.0627478,120,5
289,4.549e-20,.2848758,-.0004495,.9023124,1533,-.0040596,2.436242,17.49918,.037068,-.0276667,-8.508903,8.508904,.9720066,1.612736,118,5
291,.86116059,.2293918,.0003754,.8955174,1237,-.0083195,2.299656,17.15395,.0383741,.0289189,-12.32696,12.32696,-1.811734,-1.198381,92,5
292,.31336087,.2590034,-.0002361,.9092713,1916,.0239716,3.192728,19.04557,.0314193,-.0188233,-39.5519,39.5519,-.1919622,-.5193529,99,5
295,.23692721,.3084945,-.0002492,.906496,7705,-.0504465,4.561567,17.64154,.0307958,-.0035468,139.0446,-139.0445,-.4400426,-.1960195,100,5
296,8.197e-17,.1691005,.0012659,.9034617,1585,.1092477,1.149392,4.3588,.0286342,.2487634,43.2358,-43.2358,-.5522224,-.3683037,26,5
297,1.2251428,.2884836,.0003295,.9095004,539,.0197831,1.948397,16.16478,.0335476,.0383946,-.967185,.9671845,-.5288706,-1.02755,64,5
