true_alpha,base_failure_rate,failure_sd,n_reps,bias,rel_bias,rmse,coverage_95,reject_null
0.1,0.2,0.03,35,0.23898207072101751,2.389820707210175,0.3627508428310625,0.9428571428571428,0.029411764705882353
0.1,0.2,0.05,23,0.41865004769214836,4.186500476921483,0.5993771786872951,0.8260869565217391,0.22727272727272727
0.1,0.2,0.08,27,0.37117239070328345,3.7117239070328343,0.5179195282277105,0.8888888888888888,0.15384615384615385
0.2,0.02,0.005,34,1.3104309748833556,6.552154874416778,1.868891249887532,0.9411764705882353,0
0.2,0.02,0.01,33,1.3211170363488356,6.605585181744178,1.7956121779832908,0.9090909090909091,0.15151515151515152
0.2,0.05,0.005,26,0.45238238441701883,2.261911922085094,0.6524312424771522,1,0
0.2,0.05,0.01,34,0.8518043477336905,4.259021738668452,1.2419333605952232,0.9117647058823529,0.11764705882352941
0.2,0.05,0.02,26,0.6248561022381882,3.124280511190941,0.9027896093562418,0.9230769230769231,0.07692307692307693
0.2,0.05,0.03,34,0.7853535984543374,3.926767992271687,1.2391073408435942,0.9705882352941176,0.058823529411764705
0.2,0.09,0.005,30,0.25606100653656483,1.2803050326828243,0.4038311411737204,1,0
0.2,0.09,0.01,28,0.48123360684267213,2.4061680342133607,0.7178125451079471,0.8571428571428571,0.14814814814814814
0.2,0.09,0.02,23,0.5471137698449036,2.7355688492245176,0.8229323672384938,0.9130434782608695,0.13043478260869565
0.2,0.09,0.03,25,0.43457273447140776,2.172863672357039,0.7443157267519624,0.92,0.125
0.2,0.09,0.05,34,0.5200831016136567,2.600415508068283,0.8572087613404865,0.9117647058823529,0.12121212121212122
0.2,0.09,0.08,28,0.5791779472549443,2.8958897362747216,0.780795950978356,0.9285714285714286,0.10714285714285714
0.2,0.15,0.005,34,0.30519541082964435,1.5259770541482218,0.46994500750015605,0.9705882352941176,0.09090909090909091
0.2,0.15,0.01,33,0.3159150491409995,1.5795752457049974,0.4793159171292181,0.9696969696969697,0.09090909090909091
0.2,0.15,0.02,33,0.2999566536993388,1.499783268496694,0.41168887399919185,1,0
0.2,0.15,0.03,27,0.43302516528911483,2.165125826445574,0.6099078148146289,0.9629629629629629,0.07407407407407407
0.2,0.15,0.05,27,0.420584962058953,2.102924810294765,0.6265666801557694,0.9259259259259259,0.14814814814814814
0.2,0.15,0.08,30,0.3828850557794615,1.9144252788973075,0.5596491022503548,0.9666666666666667,0.1
0.2,0.2,0.005,36,0.21611181262098453,1.0805590631049227,0.4059300076155817,0.9166666666666666,0.11764705882352941
0.2,0.2,0.01,34,0.297475832589303,1.4873791629465147,0.4691120758078273,0.9411764705882353,0.11764705882352941
0.2,0.2,0.02,36,0.2479499150586501,1.2397495752932504,0.42640418893508186,1,0.1388888888888889
0.2,0.2,0.03,38,0.2799014622110375,1.3995073110551874,0.4595885729763491,0.9210526315789473,0.10810810810810811
0.2,0.2,0.05,36,0.3309871955521304,1.6549359777606518,0.49520172433847515,0.9444444444444444,0.16666666666666666
0.2,0.2,0.08,39,0.2619951890954898,1.3099759454774489,0.3977300682525843,0.9743589743589743,0.05128205128205128
0.4,0.02,0.005,36,0.8756535140497991,2.1891337851244974,1.3732227041798604,0.9444444444444444,0.029411764705882353
0.4,0.02,0.01,28,1.3427285212594748,3.356821303148687,2.6272316863152034,1,0
0.4,0.05,0.005,32,0.3765882751304686,0.9414706878261715,0.8339963761131108,0.96875,0.03125
0.4,0.05,0.01,38,0.661012386216353,1.6525309655408824,0.9597885697402044,0.868421052631579,0.1388888888888889
0.4,0.05,0.02,35,0.3831159921175496,0.957789980293874,0.9139037949388578,0.9142857142857143,0.14705882352941177
