config_id,true_alpha,base_failure_rate,failure_sd,eta,n_reps,mean_alpha,median_alpha,bias,rel_bias,rmse,sd_hat,mean_se,coverage_95,reject_null,alpha_label
91,0.2,0.09,0.05,1,34,0.7200831016136566,0.5638006545097499,0.5200831016136567,2.600415508068283,0.8572087613404865,0.6916579674469416,0.684723919485709,0.9117647058823529,0.12121212121212122,alpha = 0.2
92,0.2,0.15,0.05,1,27,0.620584962058953,0.5065031311321537,0.420584962058953,2.102924810294765,0.6265666801557694,0.4732758403699469,0.5622782553323322,0.9259259259259259,0.14814814814814814,alpha = 0.2
93,0.2,0.2,0.05,1,36,0.5309871955521304,0.493667196648502,0.3309871955521304,1.6549359777606518,0.49520172433847515,0.37356200747705504,0.4846695384160466,0.9444444444444444,0.16666666666666666,alpha = 0.2
94,0.2,0.09,0.08,1,28,0.7791779472549444,0.731990528460505,0.5791779472549443,2.8958897362747216,0.780795950978356,0.5332453479291037,0.6841778811433566,0.9285714285714286,0.10714285714285714,alpha = 0.2
95,0.2,0.15,0.08,1,30,0.5828850557794615,0.4508638642873643,0.3828850557794615,1.9144252788973075,0.5596491022503548,0.415152010021074,0.5419827811311624,0.9666666666666667,0.1,alpha = 0.2
96,0.2,0.2,0.08,1,39,0.4619951890954898,0.4306772946456135,0.2619951890954898,1.3099759454774489,0.3977300682525843,0.30315713292466573,0.48939962417799643,0.9743589743589743,0.05128205128205128,alpha = 0.2
97,0.4,0.02,0.005,1,36,1.275653514049799,0.9163588607920399,0.8756535140497991,2.1891337851244974,1.3732227041798604,1.072819711519432,1.5181791427145015,0.9444444444444444,0.029411764705882353,alpha = 0.4
98,0.4,0.05,0.005,1,32,0.7765882751304686,0.6360931246987501,0.3765882751304686,0.9414706878261715,0.8339963761131108,0.7560380440361433,0.9948999024597278,0.96875,0.03125,alpha = 0.4
99,0.4,0.09,0.005,1,35,0.7940650543106819,0.6997348272376652,0.39406505431068184,0.9851626357767045,0.6809443963365147,0.5634434606940636,0.6793778794887811,0.9142857142857143,0.14285714285714285,alpha = 0.4
100,0.4,0.15,0.005,1,38,0.6497486177491102,0.5312723574423818,0.24974861774911014,0.6243715443727753,0.49027090774324933,0.4275532290126511,0.5660864161118397,0.9736842105263158,0.21052631578947367,alpha = 0.4
101,0.4,0.2,0.005,1,44,0.6034172650598462,0.4629597518357388,0.20341726505984617,0.5085431626496154,0.472486807131629,0.4313868593570825,0.48819794467233363,0.9318181818181818,0.20454545454545456,alpha = 0.4
102,0.4,0.02,0.01,1,28,1.742728521259475,1.1853661252424537,1.3427285212594748,3.356821303148687,2.6272316863152034,2.2996291218666127,2.9470995398929674,1,0,alpha = 0.4
103,0.4,0.05,0.01,1,38,1.061012386216353,0.9547607999651275,0.661012386216353,1.6525309655408824,0.9597885697402044,0.7052267319356463,0.8909011570696557,0.868421052631579,0.1388888888888889,alpha = 0.4
104,0.4,0.09,0.01,1,39,0.7544573319281905,0.7768656409990927,0.3544573319281905,0.8861433298204762,0.6160302032680643,0.5104248807057655,0.6745849321378762,0.9743589743589743,0.07894736842105263,alpha = 0.4
105,0.4,0.15,0.01,1,35,0.5992994379196541,0.5350192419073035,0.19929943791965413,0.49824859479913536,0.5029142239172424,0.46847957370286214,0.5397681461675189,0.9714285714285714,0.17142857142857143,alpha = 0.4
106,0.4,0.2,0.01,1,41,0.6166902450971824,0.5180310007173126,0.21669024509718235,0.5417256127429558,0.47376602185937866,0.42654081947322336,0.4856842900638974,0.926829268292683,0.1951219512195122,alpha = 0.4
107,0.4,0.05,0.02,1,35,0.7831159921175496,0.5860746907929203,0.3831159921175496,0.957789980293874,0.9139037949388578,0.8418376241462711,0.8517837965150892,0.9142857142857143,0.14705882352941177,alpha = 0.4
108,0.4,0.09,0.02,1,38,0.6307945071172025,0.4754011312999553,0.23079450711720256,0.5769862677930063,0.5543462781769696,0.5107831898782405,0.7068171536871409,0.9736842105263158,0.10526315789473684,alpha = 0.4
109,0.4,0.15,0.02,1,42,0.7035259095507549,0.715166592576325,0.30352590955075487,0.7588147738768871,0.497205026678338,0.3985817586966697,0.544710041789141,1,0.19047619047619047,alpha = 0.4
110,0.4,0.2,0.02,1,43,0.5011480488725363,0.4056088830102949,0.10114804887253621,0.2528701221813405,0.398044387775686,0.38953456642593687,0.4602378772988366,0.9302325581395349,0.125,alpha = 0.4
111,0.4,0.05,0.03,1,34,0.7638158821590276,0.6100425672249359,0.3638158821590276,0.9095397053975689,0.6930046863088184,0.598695019506044,0.9023217958722649,0.9705882352941176,0.09090909090909091,alpha = 0.4
112,0.4,0.09,0.03,1,34,0.7807494882798279,0.6806425737055548,0.3807494882798279,0.9518737206995698,0.7310003593511725,0.6333964718106171,0.7269066747870834,0.9411764705882353,0.11764705882352941,alpha = 0.4
113,0.4,0.15,0.03,1,42,0.679592351675992,0.6716513252541454,0.279592351675992,0.69898087918998,0.4708442149821419,0.3834357023082797,0.5610355039378117,1,0.16666666666666666,alpha = 0.4
114,0.4,0.2,0.03,1,39,0.5789260782573261,0.5473288909293372,0.17892607825732612,0.44731519564331534,0.4235808829149598,0.38895415413537715,0.46214807788366186,0.9743589743589743,0.21052631578947367,alpha = 0.4
115,0.4,0.09,0.05,1,37,0.713848779157399,0.5321716923241171,0.313848779157399,0.7846219478934974,0.6173739460713608,0.5389813624132395,0.7071928261737462,0.972972972972973,0.08108108108108109,alpha = 0.4
116,0.4,0.15,0.05,1,38,0.6073304910860405,0.5068605738422298,0.20733049108604046,0.5183262277151012,0.4410321332917957,0.3944852815516755,0.5427347038760966,0.9736842105263158,0.13513513513513514,alpha = 0.4
117,0.4,0.2,0.05,1,41,0.6824392488410517,0.7438480005189232,0.2824392488410517,0.7060981221026292,0.46517972244181544,0.3742135099208413,0.4870217234709016,0.975609756097561,0.2926829268292683,alpha = 0.4
118,0.4,0.09,0.08,1,32,0.7355890901893433,0.6761662839090259,0.33558909018934324,0.838972725473358,0.6447526359262248,0.5593414783230344,0.6504475633348398,0.90625,0.16666666666666666,alpha = 0.4
119,0.4,0.15,0.08,1,36,0.7043631633302352,0.611145381126545,0.3043631633302351,0.7609079083255877,0.5581034031303626,0.4744418989615653,0.5558672274256058,0.9444444444444444,0.19444444444444445,alpha = 0.4
120,0.4,0.2,0.08,1,43,0.5050782758566176,0.5033312899259458,0.10507827585661751,0.2626956896415438,0.30460652715538833,0.289292189174621,0.48516675083765665,1,0.06976744186046512,alpha = 0.4
