hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
81,-.14447615,.7614423,.06804347,.04515321,1714,203,167,9.690782,10.46962,.2678227,1.447183,.1094889,.0280047
82,-.15658842,1.0078737,.08518587,.05908447,1328,164,140,8.451807,16.02128,.3480392,1.182918,.0647057,.0850904
83,.07553973,.81305677,.08807574,.06117709,1150,114,104,8.662609,12.1345,.2953995,1.351351,.2027327,.0278261
85,-.00826118,.93408572,.06989843,.06800827,844,113,97,7.510664,19.5285,.2485981,1.111374,.1508558,.1552133
86,-.14287725,.84393799,.09968469,.05186367,1901,125,87,8.973172,12.74325,.3156809,1.50397,.1094939,.1562336
87,.11861069,.80891242,.12019532,.08954601,712,72,86,8.935393,16.04533,.2917595,1.25811,.22264,.3146068
89,-.10384513,.98097791,.12875981,.05968875,1228,113,100,9.133551,12.46015,.3820755,1.606705,.1247613,.0895765
91,-.17259781,.77599219,.08546582,.07160156,1095,128,123,9.23105,15.65903,.3165075,2.009149,.0879556,.2246575
96,-.20437721,.97253403,.07042989,.04414883,1698,189,141,9.225559,14.91498,.3692308,1.556017,.1102808,.0053004
101,.01755386,.90812456,.14358261,.10491238,538,78,81,7.54461,11.41856,.44,2.033771,.1669891,.1579926
103,-.08748737,.87577791,.03967579,.05044522,6359,524,392,12.04749,15.96484,.495794,2.327755,.0814268,.094669
104,-.1514334,.606477,.09871083,.07672483,1360,138,114,8.696323,32.07185,.477,2.152993,.4986505,.0808824
105,.05132631,.51450729,.09128202,.06041498,1595,155,131,7.018809,9.861588,.3000867,1.14331,.1566514,.0589342
106,-.05537409,.78392959,.11889297,.08105255,1203,159,117,8.634248,24.56329,.3759124,1.894825,.3592273,.1770574
107,-.02601898,.5706804,.0753743,.07265026,884,69,87,12.45701,10.03543,.2992831,2.216895,.1380116,.0780543
109,.08687258,.76357743,.12224804,.06128009,1522,184,165,7.960578,13.74059,.3668342,1.371542,.1185668,.0111695
110,-.08205483,.78644689,.04257914,.03248118,3711,422,275,7.787928,19.80407,.4071881,1.651408,.1055621,.0450013
111,-.07528482,.88461423,.0487694,.039521,4312,474,301,7.427644,16.99253,.3505085,1.546915,.0794296,.0241187
112,-.03784396,.75950651,.05771938,.04098268,4464,329,210,9.955197,33.37387,.4442385,2.254623,.2766515,.0078405
113,-.11000141,.80912451,.03971933,.03875824,6638,691,469,9.228382,19.98373,.4075375,1.845664,.0760057,.0182284
115,-.04850383,.74756046,.09077298,.07349828,1499,215,140,7.327552,27.27461,.4279113,2.205489,.4218044,.024016
116,-.00604556,.81439093,.05586177,.06254177,1765,250,173,7.71728,28.67122,.6637324,2.354747,.3166709,.0322946
118,-.05942431,.71702078,.03677159,.03550327,6558,780,611,10.96844,22.68117,.4095028,2.30948,.06339,.0347667
119,-.03415891,.86532983,.03312885,.03359681,9363,1123,767,11.48478,37.93225,.5354534,3.132656,.0552185,.0489159
120,.15062568,.90670755,.10080423,.05653905,2170,229,147,8.685715,31.03472,.6438268,2.675451,.4201699,.0483871
122,-.05787414,.86045983,.0624438,.05919387,1607,218,170,8.333541,17.3125,.5540275,2.048035,.0890771,.0236465
123,-.10840267,.82504189,.04131605,.03810252,6418,486,312,10.60221,61.47357,.802382,3.455901,.1876144,.0698037
124,-.10774183,.65999965,.0834216,.08230991,1034,156,131,7.482592,24.21671,.4171271,2.209302,.4184254,.5918762
127,.2348452,.81815697,.17177017,.05503867,840,220,280,7.97381,16.17167,.4686193,1.806683,.0606888,.0297619
129,.01014176,.79402381,.06726252,.04596928,5124,462,348,11.57709,31.20228,.5311044,3.089181,.0876276,.0083919
130,-.13569339,.80528359,.03305486,.02654725,11410,1209,924,9.826731,25.90358,.6657622,2.913852,.0234673,.0391762
131,-.0953222,.70267482,.0826519,.05891659,2475,208,188,11.78384,19.3412,.454968,2.303215,.1251136,.1022222
133,-.06987767,.65274485,.14146762,.10231876,1001,100,122,8.912087,23.70984,.6316527,2.267267,.3134079,.035964
134,-.02518374,.79214818,.04599199,.04123933,3434,305,227,9.956611,14.59718,.3897883,2.227073,.1004166,.1164822
137,.01043154,.92318913,.0455959,.04119513,4367,522,370,10.36845,27.63484,.4494275,2.238271,.1684228,.047172
139,-.14376811,.796962,.07972248,.04933695,992,174,140,7.74496,18.20505,.462585,2.252525,.2809817,.0241935
140,.11275921,.68241619,.12668776,.06960344,1576,164,140,7.588832,14.1991,.5004212,2.26977,.1343857,.0336294
141,.0432219,.78608851,.0688309,.05570778,2087,298,254,8.942981,20.40155,.4278922,2.002404,.2364837,.1418304
