coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
-.04111745,.00272114,173,5,1,-2674.371,.59040896,.5152835,1679,222,176,8.722454,20.24041,.7005742,2.979641,.1301631,.4860036
-.05669974,.0072377,175,1,1,-2325.162,1.401e-20,0,1387,103,84,9.149964,14.98479,.4680851,2.661103,.3396837,.1824081
-.05669974,.0072377,175,5,1,-2325.162,9.605e-29,0,1387,103,84,9.149964,14.98479,.4680851,2.661103,.3396837,.1824081
-.07746708,.0040437,179,1,1,-10204.81,.15222137,.1404905,4958,336,250,12.06091,22.07669,.4337418,2.894716,.2236769,.0699879
-.07746368,.0040454,179,5,1,-10204.78,.33732627,.3014837,4958,336,250,12.06091,22.07669,.4337418,2.894716,.2236769,.0699879
-.06266499,.00304963,180,1,1,-8180.246,.00536682,.0964652,3952,389,249,9.039221,24.43615,.4193793,2.073556,.2498504,.1024798
-.06266836,.00304945,180,5,1,-8180.222,.08730045,.4165311,3952,389,249,9.039221,24.43615,.4193793,2.073556,.2498504,.1024798
-.07407482,.00462134,181,1,1,-6265.583,0,0,2849,342,236,10.29309,23.58452,.4983642,2.711245,.1488373,.0979291
-.07409072,.00462177,181,5,1,-6265.66,6.761e-14,0,2849,342,236,10.29309,23.58452,.4983642,2.711245,.1488373,.0979291
-.05445044,.00152962,183,1,1,-34701.31,0,0,14975,1066,524,12.26584,22.0546,.5191777,2.563456,.0706503,.1835726
-.05444867,.00152981,183,5,1,-34702.29,4.347e-20,0,14975,1066,524,12.26584,22.0546,.5191777,2.563456,.0706503,.1835726
-.03786069,.00765316,184,1,1,-2468.342,7.323e-17,0,1378,150,105,8.847605,31.45818,.5818354,2.48,.4835187,.3744557
-.03786069,.00765316,184,5,1,-2468.342,2.041e-38,0,1378,150,105,8.847605,31.45818,.5818354,2.48,.4835187,.3744557
-.08222143,.01059189,185,1,1,-1958,2.054e-35,2.03e-32,1044,109,99,9.898467,21.57308,.4255618,2.189605,.4721451,.0296935
-.08223781,.0105929,185,5,1,-1957.989,.12644456,.7092939,1044,109,99,9.898467,21.57308,.4255618,2.189605,.4721451,.0296935
-.0523033,.00803143,186,1,1,-3693.814,.50966163,.3114718,1779,247,150,9.913997,24.10321,.6175711,3.355894,.0826098,.1495222
-.05233496,.00802873,186,5,1,-3694.038,1.0004052,.6969424,1779,247,150,9.913997,24.10321,.6175711,3.355894,.0826098,.1495222
-.10343252,.00630907,187,1,1,-8739.071,.31273902,.1777382,4305,388,250,9.412543,25.00047,.4062992,2.302358,.1605464,.0891986
-.1034246,.00630484,187,5,1,-8739.563,.53277859,.3792423,4305,388,250,9.412543,25.00047,.4062992,2.302358,.1605464,.0891986
-.09220657,.00908693,190,1,1,-4145.946,.40120033,.2372066,2270,163,97,9.305727,36.47062,.5853932,2.596731,.7916455,.0229075
-.09217616,.00908187,190,5,1,-4146.039,.744937,.4590721,2270,163,97,9.305727,36.47062,.5853932,2.596731,.7916455,.0229075
-.07334818,.00347934,191,1,1,-9013.315,.24012072,.2023386,4768,278,185,10.08431,31.67516,.7720531,3.224563,.3533031,.0664849
-.07338479,.00348275,191,5,1,-9011.749,.78185167,.4051778,4768,278,185,10.08431,31.67516,.7720531,3.224563,.3533031,.0664849
-.06099804,.00259477,192,1,1,-15457.66,.31283267,.1688873,7250,466,293,12.79572,18.52862,.467538,2.081845,.2533203,.1091034
-.06102225,.00259074,192,5,1,-15457.83,.65129159,.3680565,7250,466,293,12.79572,18.52862,.467538,2.081845,.2533203,.1091034
-.05453742,.01168943,193,1,1,-1472.073,7.288e-14,0,998,110,108,8.687375,18.44198,.6005188,2.665323,.2108907,.3016032
